Date,Open,High,Low,Close,Adj Close,Volume
Dec 30,48.30,48.30,47.24,47.63,47.63,212
Dec 27,47.18,47.93,46.80,47.73,47.73,258
Dec 24,45.75,46.55,45.30,45.73,45.73,155
Dec 23,44.33,45.83,43.80,45.54,45.54,1,153
Dec 20,43.88,44.47,42.78,44.13,44.13,1,532
Dec 19,41.47,43.62,39.83,43.08,43.08,1,825
Dec 18,42.35,42.40,40.63,41.01,41.01,3,554
Dec 17,40.50,42.15,39.96,42.06,42.06,3,026
Dec 16,40.19,40.58,38.96,40.28,40.28,11,204
Dec 13,42.54,43.24,41.01,41.22,41.22,22,343
Dec 12,44.40,44.45,42.49,42.80,42.80,17,348
Dec 11,45.25,45.96,44.40,44.69,44.69,17,844
Dec 10,44.55,45.85,44.45,45.55,45.55,7,635
Dec 9,46.20,46.31,44.74,44.85,44.85,12,527
Dec 6,46.25,46.70,45.95,46.48,46.48,4,410
Dec 5,47.51,47.56,46.01,46.55,46.55,6,281
Dec 4,48.10,48.15,46.71,47.05,47.05,6,876
Dec 3,48.93,49.05,48.25,48.56,48.56,3,526
Dec 2,48.86,49.29,48.35,48.65,48.65,3,849
Nov 29,47.48,47.95,46.24,47.81,47.81,594
Nov 27,46.53,46.80,46.00,46.76,46.76,236
Nov 26,47.38,48.29,46.13,47.22,47.22,185
Nov 25,47.67,48.88,47.40,47.73,47.73,673
Nov 22,49.05,49.24,46.78,47.02,47.02,10,600
Nov 21,47.12,48.72,47.12,48.30,48.30,11,918
Nov 20,45.36,47.23,45.28,46.80,46.80,24,271
Nov 19,46.65,47.31,45.60,45.67,45.67,15,988
Nov 18,45.48,47.13,45.38,46.90,46.90,9,479
Nov 15,46.00,47.41,45.45,46.55,46.55,20,423
Nov 14,45.51,46.51,44.99,46.22,46.22,9,375
Nov 13,43.63,44.10,42.20,43.67,43.67,8,322
Nov 12,43.82,44.44,43.00,44.26,44.26,7,781
Nov 11,41.67,44.11,41.67,43.73,43.73,8,189
Nov 8,42.33,43.06,41.97,42.41,42.41,7,861
Nov 7,40.51,41.58,40.38,41.28,41.28,4,669
Nov 6,40.10,40.75,39.04,40.39,40.39,2,803
Nov 5,40.33,41.20,40.31,40.49,40.49,2,213
Nov 4,39.49,40.53,39.43,40.30,40.30,1,500
Nov 1,39.33,40.38,38.55,39.17,39.17,1,352
Oct 31,41.22,41.49,38.07,40.59,40.59,423
Oct 30,41.56,41.56,40.90,40.90,40.90,207
Oct 29,43.44,43.60,42.87,42.87,42.87,41
Oct 28,42.50,42.72,41.88,42.52,42.52,131
Oct 25,42.20,43.57,42.20,43.51,43.51,268
Oct 24,41.85,42.63,41.75,42.15,42.15,323
Oct 23,40.80,41.75,40.65,41.38,41.38,388
Oct 22,39.93,41.01,39.79,40.70,40.70,215
Oct 21,39.81,40.22,39.65,40.02,40.02,199
Oct 18,39.74,39.74,39.10,39.20,39.20,209
Oct 17,39.45,40.03,39.31,39.65,39.65,135
Oct 16,40.21,40.26,39.15,39.24,39.24,155
Oct 15,39.85,40.09,38.97,39.97,39.97,118
Oct 14,39.32,40.71,39.24,40.56,40.56,116
Oct 11,39.87,40.58,39.52,39.88,39.88,217
Oct 10,38.40,40.35,38.40,40.29,40.29,274
Oct 9,38.40,39.16,38.10,38.34,38.34,253
Oct 8,40.18,40.18,38.70,38.92,38.92,264
Oct 7,40.21,40.94,39.51,40.24,40.24,207
Oct 4,39.63,41.17,39.38,40.98,40.98,133
Oct 3,38.40,39.91,38.15,39.91,39.91,196
Oct 2,39.90,39.90,38.42,38.62,38.62,226
Oct 1,38.40,39.60,37.44,39.27,39.27,205
Sep 30,39.21,39.27,38.71,39.04,39.04,142
Sep 27,37.28,38.13,37.28,38.11,38.11,98
Sep 26,37.03,37.92,36.70,37.89,37.89,100
Sep 25,36.37,37.51,36.15,37.32,37.32,76
Sep 24,36.46,36.46,35.31,35.41,35.41,207
Sep 23,34.90,36.29,34.57,36.21,36.21,253
Sep 20,34.49,35.08,33.87,34.44,34.44,214
Sep 19,35.98,36.69,32.53,33.08,33.08,650
Sep 18,35.19,35.74,34.71,35.24,35.24,229
Sep 17,34.15,35.75,34.13,35.55,35.55,266
Sep 16,35.11,35.15,33.97,34.08,34.08,332
Sep 13,35.19,36.17,35.15,35.65,35.65,485
